system   D            wsystem.c:583  maybe_parent_dir                 [   0.00058] Also searching C:\Users\krzyœ\Documents\Visual Studio 2015\Projects\Gra_w_statki\
display  D   display_settings.c:191  debug_display_settings           [   0.01611] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01613] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01614] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01615] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01616] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01617] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01618] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01619] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01620] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01621] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01622] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01623] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01624] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01625] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01626] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01628] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01628] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01630] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01631] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01632] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01633] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01634] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01635] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01636] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01637] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01638] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01639] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01640] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01641] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01642] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01643] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01644] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01645] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01647] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01647] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01649] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01649] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01651] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01652] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01653] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01654] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01655] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01656] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01657] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01658] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01659] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01660] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01661] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01662] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01663] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01664] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01665] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01666] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01667] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01668] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01672] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01673] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01674] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01675] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01676] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01677] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01678] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01679] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01681] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01681] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01683] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01684] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01685] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01686] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01687] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01688] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01689] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01690] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01691] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01692] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01693] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01694] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01695] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01696] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01697] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01698] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01699] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01700] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01702] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01702] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01704] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01705] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01706] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.01708] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.01726] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.01732] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.02271] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.03021] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.03024] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.03026] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.03029] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.03031] Returning d3d_display: 02EF1910
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.03032] al_display=02EF1910
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.03033] al_display->vt=02EF1640
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.03359] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.03361] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.03362] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.03363] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.03364] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.03365] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.03366] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.03367] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.03368] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.03369] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.03370] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.03371] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.03372] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.03607] added dtor for object 02F8F8D8, func 0F912595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.07253] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.07256] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:184  _al_register_destructor          [   0.09972] added dtor for object 02F8F6B0, func 0F9127A7
font     W               font.c:286  al_init_font_addon               [   0.09978] Font addon already initialised.
font     W                ttf.c:854  al_init_ttf_addon                [   0.09979] TTF addon already initialised.
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.10028] Font times.ttf loaded with pixel size 0 x 97.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.10029]     ascent=86.0, descent=-21.0, height=112.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10031] added dtor for object 053F5E60, func 0F911B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.10034] removed dtor for object 00AEE620
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.10076] Font times.ttf loaded with pixel size 0 x 97.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.10079]     ascent=86.0, descent=-21.0, height=112.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10081] added dtor for object 053F5E98, func 0F911B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.10082] removed dtor for object 053F5E60
font     W               font.c:286  al_init_font_addon               [   0.10100] Font addon already initialised.
font     W                ttf.c:854  al_init_ttf_addon                [   0.10102] TTF addon already initialised.
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.10196] Font times.ttf loaded with pixel size 0 x 97.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.10198]     ascent=86.0, descent=-21.0, height=112.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10200] added dtor for object 053F6020, func 0F911B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.10202] removed dtor for object 00ADC720
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.10272] Font times.ttf loaded with pixel size 0 x 97.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.10273]     ascent=86.0, descent=-21.0, height=112.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10275] added dtor for object 053F5E28, func 0F911B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.10276] removed dtor for object 053F6020
font     W               font.c:286  al_init_font_addon               [   0.10282] Font addon already initialised.
font     W                ttf.c:854  al_init_ttf_addon                [   0.10283] TTF addon already initialised.
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.10313] Font times.ttf loaded with pixel size 0 x 97.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.10314]     ascent=86.0, descent=-21.0, height=112.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10316] added dtor for object 053F5E60, func 0F911B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.10317] removed dtor for object 00ADCA30
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.10348] Font times.ttf loaded with pixel size 0 x 97.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.10349]     ascent=86.0, descent=-21.0, height=112.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10351] added dtor for object 02F05228, func 0F911B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.10352] removed dtor for object 053F5E60
font     W               font.c:286  al_init_font_addon               [   0.10357] Font addon already initialised.
font     W                ttf.c:854  al_init_ttf_addon                [   0.10358] TTF addon already initialised.
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.10384] Font times.ttf loaded with pixel size 0 x 97.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.10386]     ascent=86.0, descent=-21.0, height=112.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10387] added dtor for object 02F05420, func 0F911B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.10389] removed dtor for object 00ADCCD0
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.10419] Font times.ttf loaded with pixel size 0 x 97.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.10420]     ascent=86.0, descent=-21.0, height=112.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10422] added dtor for object 00ADCCD0, func 0F911B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.10423] removed dtor for object 02F05420
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10502] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10504] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10504] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10505] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10506] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10507] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10508] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10509] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10510] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.10511] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.10512] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.10513] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.10514] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   0.10570] Glyph 20: 27x68 (28x68)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.10682] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.10684] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:406  cache_glyph                      [   0.10894] Glyph 3 has zero size.
font     D                ttf.c:217  alloc_glyph_region               [   0.10915] Glyph 89: 50x47 (52x48)
font     D                ttf.c:217  alloc_glyph_region               [   0.10929] Glyph 86: 32x48 (32x48)
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10980] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10981] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10982] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10983] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10984] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10985] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10985] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10986] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10987] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.10988] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.10989] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.10990] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.10991] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   0.11030] Glyph 20: 27x68 (28x68)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11867] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11870] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:406  cache_glyph                      [   0.11950] Glyph 3 has zero size.
font     D                ttf.c:217  alloc_glyph_region               [   0.11963] Glyph 89: 50x47 (52x48)
font     D                ttf.c:217  alloc_glyph_region               [   0.11976] Glyph 86: 32x48 (32x48)
font     D                ttf.c:217  alloc_glyph_region               [   0.11990] Glyph 36: 72x68 (72x68)
